C,Kernel,Accuracy
0.001,linear,0.3855475040257649
0.001,poly,0.3726247987117552
0.001,rbf,0.25124798711755236
0.001,sigmoid,0.25124798711755236
0.01,linear,0.4230676328502415
0.01,poly,0.4280595813204509
0.01,rbf,0.3652173913043478
0.01,sigmoid,0.25124798711755236
0.1,linear,0.44855072463768114
0.1,poly,0.4614331723027375
0.1,rbf,0.4280595813204509
0.1,sigmoid,0.3305958132045088
1.0,linear,0.4602657004830918
1.0,poly,0.5011272141706924
1.0,rbf,0.47250402576489525
1.0,sigmoid,0.2869162640901771
10.0,linear,0.46284219001610305
10.0,poly,0.5332528180354268
10.0,rbf,0.5242351046698872
10.0,sigmoid,0.27153784219001614
