household_id,person_id,LONGDIST,main_mode_of_transport,international_trip,num_people_on_long_distance_trip,person_1_on_long_distance_trip,person_2_on_long_distance_trip,person_3_on_long_distance_trip,person_4_on_long_distance_trip,person_5_on_long_distance_trip,person_6_on_long_distance_trip,person_7_on_long_distance_trip,person_8_on_long_distance_trip,person_9_on_long_distance_trip,person_10_on_long_distance_trip,reason_for_travel,num_used_amtrak_last_year,num_used_intracity_bus_last_year,long_distance_trip,begin_trip_date,ENDTRIP,num_nights_away_from_home,trip_includes_weekend,date_of_most_recent_trip,farthest_census_division_traveled,farthest_census_region_traveled,great_circle_distance_traveled,airport_size,exit_census_division,great_circle_distance_longer_than_50_miles,num_adults_in_household,own_or_rent_home,metro_rail_status,census_division,census_region,hispanic,num_drivers_in_household,household_grouping,household_income,household_income_imputed,race,household_size,num_vehicles_in_household,LIF_CYC,metro_area_category,metro_area_size,travel_day_of_week,household_urban_classification,household_urban_size,household_urban_rural,travel_day_date,WRKCOUNT,household_stratum_id,person_weight_7_day,person_weight_5_day,person_weight_2_day,respondent_age,respondent_sex,worker_status,DRIVER,respondent_race,respondent_hispanic,proxy_respondent,education_level,respondent_sex_imputed
9000013002,01,1,01,01,2,01,01,02,02,-9,-9,-9,-9,-9,-9,02,0,0,02,202202,202202,3,02,202202,01,01,61.86879966,-1,-1,01,2,01,01,01,01,02,2,11,11,11,01,4,2,04,01,05,01,01,04,01,202202,1,1021,3938.688806,0,13363.8093550292,39,02,02,01,01,02,01,07,02
9000013002,02,1,03,01,2,01,01,02,02,-9,-9,-9,-9,-9,-9,02,0,0,02,202202,202202,3,02,202202,01,01,61.86879966,-1,-1,01,2,01,01,01,01,02,2,11,11,11,01,4,2,04,01,05,01,01,04,01,202202,1,1021,5409.5145725,0,19360.0949193166,42,01,01,01,01,02,02,07,01
9000013002,03,0,03,01,5,01,01,01,01,-9,-9,-9,-9,-9,-9,02,0,0,02,-9,-9,-9,-9,-9,05,03,382.2113354,-1,-1,01,2,01,01,01,01,02,2,11,11,11,01,4,2,04,01,05,01,01,04,01,202202,1,1021,3013.5821629,0,7285.04499424843,8,-7,-1,-1,01,02,02,-1,01
9000013002,04,0,03,01,5,01,01,01,01,-9,-9,-9,-9,-9,-9,02,0,0,02,-9,-9,-9,-9,-9,05,03,382.2113354,-1,-1,01,2,01,01,01,01,02,2,11,11,11,01,4,2,04,01,05,01,01,04,01,202202,1,1021,6214.1087396,0,27109.3368293983,5,-7,-1,-1,01,02,02,-1,01
9000013016,01,0,01,01,2,01,01,-9,-9,-9,-9,-9,-9,-9,-9,02,0,0,02,-9,-9,-9,-9,-9,01,01,98.11853616,-1,-1,01,2,03,02,01,01,02,2,13,07,07,01,2,1,02,03,03,04,01,02,01,202202,2,1021,3183.4208104,4177.2344524,0,32,02,01,01,01,02,01,06,02
9000013016,02,0,01,01,2,01,01,-9,-9,-9,-9,-9,-9,-9,-9,02,0,0,02,-9,-9,-9,-9,-9,01,01,98.11853616,-1,-1,01,2,03,02,01,01,02,2,13,07,07,01,2,1,02,03,03,04,01,02,01,202202,2,1021,3213.6809958,4010.8099954,0,41,01,01,01,01,02,02,04,01
9000013026,01,1,14,01,1,01,-9,-9,-9,-9,-9,-9,-9,-9,-9,03,2,0,02,202201,202201,8,03,202201,02,01,258.6532184,-1,-1,01,1,03,01,01,01,02,1,11,10,10,01,1,0,01,01,05,03,01,04,01,202202,1,1021,7727.2668272,11702.30262,0,44,01,01,01,01,02,01,08,01
9000013039,01,0,01,01,4,01,01,01,01,-9,-9,-9,-9,-9,-9,02,0,0,02,-9,-9,-9,-9,-9,01,01,57.43671906,-1,-1,01,2,03,01,01,01,02,2,11,07,07,01,4,1,06,01,04,05,01,04,01,202201,1,1021,12167.712239,12540.688961,0,38,01,01,01,01,02,01,06,01
9000013039,02,0,01,01,4,01,01,01,01,-9,-9,-9,-9,-9,-9,02,0,0,02,-9,-9,-9,-9,-9,01,01,57.43671906,-1,-1,01,2,03,01,01,01,02,2,11,07,07,01,4,1,06,01,04,05,01,04,01,202201,1,1021,3815.3063067,4166.3276779,0,37,02,02,01,01,02,01,06,02
9000013039,03,0,01,01,4,01,01,01,01,-9,-9,-9,-9,-9,-9,02,0,0,02,-9,-9,-9,-9,-9,01,01,57.43671906,-1,-1,01,2,03,01,01,01,02,2,11,07,07,01,4,1,06,01,04,05,01,04,01,202201,1,1021,5129.0065593,6449.2933442,0,12,01,-1,-1,01,02,02,-1,01
9000013039,04,0,01,01,4,01,01,01,01,-9,-9,-9,-9,-9,-9,02,0,0,02,-9,-9,-9,-9,-9,01,01,57.43671906,-1,-1,01,2,03,01,01,01,02,2,11,07,07,01,4,1,06,01,04,05,01,04,01,202201,1,1021,5129.0065593,6449.2933442,0,9,01,-1,-1,01,02,02,-1,01
9000013041,01,1,14,02,13,01,-9,-9,-9,-9,-9,-9,-9,-9,-9,02,0,0,02,202201,202201,7,03,202201,-1,-1,-1,04,02,-1,1,01,02,01,01,02,1,12,11,11,01,1,1,01,02,04,02,01,03,01,202201,1,1021,3206.3440947,4228.326233,0,37,01,01,01,01,02,01,06,01
9000013042,01,0,03,01,3,01,01,01,-9,-9,-9,-9,-9,-9,-9,03,0,0,02,-9,-9,-9,-9,-9,01,01,81.61784631,-1,-1,01,2,01,01,01,01,02,2,11,11,11,03,3,2,04,01,05,06,01,04,01,202202,2,1021,8214.7851122,11402.070828,0,59,01,01,01,03,02,01,08,01
9000013042,02,0,03,01,3,01,01,01,-9,-9,-9,-9,-9,-9,-9,03,0,0,02,-9,-9,-9,-9,-9,01,01,81.61784631,-1,-1,01,2,01,01,01,01,02,2,11,11,11,03,3,2,04,01,05,06,01,04,01,202202,2,1021,8253.3705035,11958.796757,0,38,02,01,01,03,02,01,08,02
9000013043,01,1,01,01,3,01,-9,-9,-9,-9,-9,-9,-9,-9,-9,02,0,0,02,202201,202201,3,02,202201,05,03,1249.617289,-1,-1,01,1,02,01,01,01,02,1,11,06,06,01,1,1,09,01,05,03,01,04,01,202202,0,1021,3126.2567473,3322.2137679,0,73,01,02,01,01,02,01,07,01
