"HOUSEID","VEHID","VEHYEAR","MAKE","HHVEHCNT","VEHTYPE","VEHFUEL","VEHCOMMERCIAL","VEHCOM_RS","VEHCOM_DEL","VEHCOM_OTH","COMMERCIALFREQ","HHVEHUSETIME_RS","HHVEHUSETIME_DEL","HHVEHUSETIME_OTH","VEHOWNED","WHOMAIN","VEHCASEID","ANNMILES","HYBRID","VEHAGE","VEHOWNMO","NUMADLT","HOMEOWN","RAIL","CENSUS_D","CENSUS_R","HH_HISP","DRVRCNT","CDIVMSAR","HHFAMINC","HH_RACE","HHSIZE","LIF_CYC","MSACAT","MSASIZE","TRAVDAY","URBAN","URBANSIZE","URBRUR","TDAYDATE","WRKCOUNT","STRATUMID","WTHHFIN","WTHHFIN5D","WTHHFIN2D","HHFAMINC_IMP"
"9000013002","01",2015,"48",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001300201",2000,"02",7,"-1",2,"01","01","01","01","02",2,"11","11","01",4,"04","01","05","01","01","04","01","202202",1,"1021",4621.75800248184,0,13946.1911675731,"11"
"9000013002","02",2019,"48",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001300202",10000,"02",3,"-1",2,"01","01","01","01","02",2,"11","11","01",4,"04","01","05","01","01","04","01","202202",1,"1021",4621.75800248184,0,13946.1911675731,"11"
"9000013016","01",2011,"49",1,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001301601",10000,"02",11,"-1",2,"03","02","01","01","02",2,"13","07","01",2,"02","03","03","04","01","02","01","202202",2,"1021",2982.99840700777,3878.81427936932,0,"07"
"9000013039","01",2015,"35",1,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001303901",5000,"02",7,"-1",2,"03","01","01","01","02",2,"11","07","01",4,"06","01","04","05","01","04","01","202201",1,"1021",10355.8907350813,13150.6789962131,0,"07"
"9000013041","01",2014,"34",1,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001304101",5000,"02",8,"-1",1,"01","02","01","01","02",1,"12","11","01",1,"01","02","04","02","01","03","01","202201",1,"1021",4926.86252946515,7061.35748486616,0,"11"
"9000013042","01",2017,"00",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001304201",70000,"02",5,"-1",2,"01","01","01","01","02",2,"11","11","03",3,"04","01","05","06","01","04","01","202202",2,"1021",7516.38799787129,11058.6177445107,0,"11"
"9000013042","02",2000,"34",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001304202",20,"02",22,"-1",2,"01","01","01","01","02",2,"11","11","03",3,"04","01","05","06","01","04","01","202202",2,"1021",7516.38799787129,11058.6177445107,0,"11"
"9000013043","01",2014,"63",1,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001304301",8000,"02",8,"-1",1,"02","01","01","01","02",1,"11","06","01",1,"09","01","05","03","01","04","01","202202",0,"1021",4110.97235430874,5208.57355692916,0,"06"
"9000013044","01",2009,"35",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001304401",500,"02",13,"-1",2,"03","01","01","01","02",2,"11","07","01",2,"02","01","05","06","01","04","01","202202",2,"1021",4497.9897090259,5967.14855580564,0,"07"
"9000013044","02",2017,"35",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001304402",3000,"02",5,"-1",2,"03","01","01","01","02",2,"11","07","01",2,"02","01","05","06","01","04","01","202202",2,"1021",4497.9897090259,5967.14855580564,0,"07"
"9000013045","01",2011,"48",1,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001304501",6000,"02",11,"-1",2,"03","01","01","01","02",1,"11","06","01",2,"02","01","05","02","01","04","01","202202",2,"1021",5040.96139158237,6380.41315528668,0,"06"
"9000013046","01",2017,"48",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001304601",10000,"02",5,"-1",2,"02","01","01","01","02",2,"11","10","01",2,"10","01","04","01","01","04","01","202201",0,"1021",6834.42001256054,0,19015.8625211676,"10"
"9000013046","02",2019,"06",2,"02","01","02","-1","-1","-1","-1","-1","-1","-1","02","02","900001304602",4500,"02",3,"08",2,"02","01","01","01","02",2,"11","10","01",2,"10","01","04","01","01","04","01","202201",0,"1021",6834.42001256054,0,19015.8625211676,"10"
"9000013068","01",2022,"63",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","02","01","900001306801",32000,"02",1,"06",2,"01","02","01","01","02",2,"12","10","01",5,"04","02","04","01","04","06","02","202202",1,"1022",7381.07130681442,0,10644.5870832098,"10"
"9000013068","02",2020,"12",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001306802",200,"02",2,"-1",2,"01","02","01","01","02",2,"12","10","01",5,"04","02","04","01","04","06","02","202202",1,"1022",7381.07130681442,0,10644.5870832098,"10"
"9000013081","01",2021,"55",3,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001308101",10000,"02",1,"-1",2,"02","02","01","01","02",2,"13","06","01",2,"10","03","03","05","04","06","02","202202",1,"1022",9460.87688695166,19972.3601834273,0,"06"
"9000013081","02",2018,"07",3,"04","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001308102",7000,"02",4,"-1",2,"02","02","01","01","02",2,"13","06","01",2,"10","03","03","05","04","06","02","202202",1,"1022",9460.87688695166,19972.3601834273,0,"06"
"9000013081","03",2008,"00",3,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","96","900001308103",3000,"02",14,"-1",2,"02","02","01","01","02",2,"13","06","01",2,"10","03","03","05","04","06","02","202202",1,"1022",9460.87688695166,19972.3601834273,0,"06"
"9000013083","01",2016,"49",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001308301",12000,"02",6,"-1",2,"02","01","01","01","02",2,"11","07","03",2,"10","01","05","06","04","06","02","202202",0,"1021",6779.75251426605,8718.8688702098,0,"07"
"9000013083","02",2019,"48",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001308302",12000,"02",3,"-1",2,"02","01","01","01","02",2,"11","07","03",2,"10","01","05","06","04","06","02","202202",0,"1021",6779.75251426605,8718.8688702098,0,"07"
"9000013086","01",2014,"02",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001308601",6000,"02",8,"-1",2,"02","02","01","01","02",2,"12","06","01",2,"10","02","04","01","01","03","01","202201",0,"1021",11306.96634211,0,40817.6449705877,"06"
"9000013086","02",2018,"02",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001308602",7000,"02",4,"-1",2,"02","02","01","01","02",2,"12","06","01",2,"10","02","04","01","01","03","01","202201",0,"1021",11306.96634211,0,40817.6449705877,"06"
"9000013099","01",2020,"20",2,"01","05","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001309901",9000,"01",2,"-1",2,"01","01","01","01","02",2,"11","11","01",2,"02","01","04","04","01","04","01","202202",2,"1021",6213.58789592702,8880.87797489237,0,"11"
"9000013099","02",2021,"30",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","02","02","900001309902",12857,"02",1,"07",2,"01","01","01","01","02",2,"11","11","01",2,"02","01","04","04","01","04","01","202202",2,"1021",6213.58789592702,8880.87797489237,0,"11"
"9000013104","01",2006,"34",3,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001310401",20,"02",16,"-1",3,"01","01","01","01","02",3,"13","06","02",3,"02","03","03","03","01","03","01","202202",0,"1021",37437.7350568741,50732.95690707,0,"06"
"9000013104","02",2008,"34",3,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001310402",20,"02",14,"-1",3,"01","01","01","01","02",3,"13","06","02",3,"02","03","03","03","01","03","01","202202",0,"1021",37437.7350568741,50732.95690707,0,"06"
"9000013104","03",2015,"41",3,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","03","900001310403",10,"02",7,"-1",3,"01","01","01","01","02",3,"13","06","02",3,"02","03","03","03","01","03","01","202202",0,"1021",37437.7350568741,50732.95690707,0,"06"
"9000013122","01",2019,"32",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","02","02","900001312201",6000,"02",3,"08",3,"01","02","01","01","02",3,"13","11","01",3,"10","03","03","07","04","06","02","202203",2,"1021",17018.9645233296,0,49540.7105190344,"11"
"9000013122","02",2019,"37",2,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","03","900001312202",15000,"02",3,"-1",3,"01","02","01","01","02",3,"13","11","01",3,"10","03","03","07","04","06","02","202203",2,"1021",17018.9645233296,0,49540.7105190344,"11"
"9000013145","01",2016,"41",1,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001314501",5000,"02",6,"-1",1,"02","01","01","01","02",1,"11","06","01",1,"01","01","04","07","01","04","01","202202",1,"1021",17367.5578191942,0,77203.5500109198,"06"
"9000013148","01",2020,"35",2,"04","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001314801",8000,"02",2,"-1",2,"01","02","01","01","02",2,"13","06","01",2,"10","03","02","06","04","06","02","202202",0,"1022",4216.66851741864,8251.79420635639,0,"06"
"9000013148","02",2020,"55",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001314802",10000,"02",2,"-1",2,"01","02","01","01","02",2,"13","06","01",2,"10","03","02","06","04","06","02","202202",0,"1022",4216.66851741864,8251.79420635639,0,"06"
"9000013158","01",2016,"48",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001315801",1000,"02",6,"-1",2,"02","02","01","01","02",2,"12","05","01",2,"10","02","04","04","04","06","02","202202",0,"1021",8483.13042034749,10871.2384685705,0,"05"
"9000013158","02",1997,"00",2,"03","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001315802",500,"02",25,"-1",2,"02","02","01","01","02",2,"12","05","01",2,"10","02","04","04","04","06","02","202202",0,"1021",8483.13042034749,10871.2384685705,0,"05"
"9000013164","01",2010,"48",1,"01","01","02","-1","-1","-1","-1","-1","-1","-1","02","03","900001316401",800,"02",12,"06",8,"03","02","01","01","02",2,"13","05","01",8,"02","03","01","03","01","01","01","202202",1,"1021",7624.43580599674,9809.66341451559,0,"05"
"9000013165","01",2012,"37",3,"01","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001316501",10000,"02",10,"-1",1,"03","01","01","01","02",1,"11","05","02",1,"01","01","05","01","01","04","01","202201",1,"1021",15925.872905701,0,69337.7536271276,"05"
"9000013165","02",2003,"20",3,"04","01","02","-1","-1","-1","-1","-1","-1","-1","02","01","900001316502",6000,"02",19,"03",1,"03","01","01","01","02",1,"11","05","02",1,"01","01","05","01","01","04","01","202201",1,"1021",15925.872905701,0,69337.7536271276,"05"
"9000013165","03",2018,"37",3,"07","01","02","-1","-1","-1","-1","-1","-1","-1","01","01","900001316503",1000,"02",4,"-1",1,"03","01","01","01","02",1,"11","05","02",1,"01","01","05","01","01","04","01","202201",1,"1021",15925.872905701,0,69337.7536271276,"05"
"9000013167","01",2020,"49",2,"04","01","02","-1","-1","-1","-1","-1","-1","-1","01","02","900001316701",300,"02",2,"-1",3,"01","01","01","01","02",3,"11","08","01",4,"04","01","05","02","01","04","01","202202",2,"1021",8463.30747576193,11188.3821244975,0,"08"
