NN_0,NN_1,NN_2,NN_3,NN_4,Logit_0,Logit_1,Logit_2,Logit_3,Logit_4,Xgboost_0,Xgboost_1,Xgboost_2,Xgboost_3,Xgboost_4,SVM_0,SVM_1,SVM_2,SVM_3,SVM_4,RF_0,RF_1,RF_2,RF_3,RF_4,NN,Logistic Regression,Xgboost,SVM,RF,Actual
0.101801254,0.0004316382,0.005676833,0.12642516,0.7656651,0.1694985359017679,0.09422879273634027,0.26993395236283413,0.23506039418614527,0.23127832481291244,0.056491785,0.042702843,0.7792271,0.117608644,0.00396966,-0.1827062492095877,4.221393406803076,0.8634346915133535,3.15224841326483,1.841046892027846,0.1526173744362801,0.17058400335581567,0.4031282550454926,0.14889072810356505,0.12477963905884652,4,4,4,0,2,2
0.46598512,0.33366054,0.12795708,0.050312817,0.022084417,0.4285580562079503,0.21364283519629443,0.18294529069211504,0.002993932423447569,0.17185988548019268,0.69276386,0.14013429,0.16270407,0.0017736217,0.0026241618,4.27506151091648,3.207219042177853,1.1687377715190435,-0.2987128355593623,2.1844984701273895,0.5042011321835831,0.11327324142451962,0.07013298314513806,0.009000649551162943,0.30339199369559616,0,1,1,1,0,0
0.04984962,0.024281701,0.022238092,0.5013038,0.4023268,0.30538535649653203,0.2776024015561091,0.06806552457023397,0.04413048873950752,0.3048162286376174,0.6051854,0.001925313,0.002561436,0.00016524512,0.3901626,4.279269660962874,3.0246444307286526,0.8562255994829723,-0.2745712250143569,2.0521941724209425,0.2586948112069987,0.15565657229508326,0.07920746258768827,0.09295588525876065,0.41348526865146895,3,3,4,3,4,0
0.3323929,0.42459783,0.15527472,0.04812211,0.039612416,0.21880659279228967,0.3624839774715861,0.18228068861421828,0.004985285683761567,0.23144345543814449,0.0013958153,0.98061174,0.0038293821,0.0002565333,0.013906546,2.1475128529104386,4.281250578727922,1.08712660449376,-0.2944294063710849,3.168343162814125,0.10179524445340808,0.6543100966023029,0.0990720708105629,0.00692873651033801,0.1378938516233882,1,1,2,1,1,1
0.0056739957,0.5914981,1.2623009e-05,1.1707705e-06,0.40281415,0.40218829243865606,0.22315384664072546,0.2462958208250881,0.0024314492247333613,0.12593059087079686,0.962991,0.0071048024,0.004584432,0.00016166884,0.025158077,4.269371121618443,3.23814032006021,2.128210888623159,-0.2764295486511734,0.7624446110620722,0.49096892753671745,0.24856832544812982,0.16548097809231127,0.013045069434257619,0.08193669948858397,1,1,4,4,0,0
0.023706963,0.0030783277,0.0016352313,0.9693926,0.0021868576,0.11618527125931367,0.35797147812165037,0.2736567820641695,0.0315937757136609,0.22059269284120553,0.0023017284,0.002759415,0.04776556,0.00040596628,0.9467673,0.790246749777434,4.269488781864765,1.973172041511849,-0.26403364401382506,3.1929142619650053,0.056673313659821964,0.15108636241683873,0.16147511649290092,0.02218337046804082,0.6085818369623976,3,3,3,3,4,4
0.28018224,0.38226327,0.24898699,0.051657755,0.036909696,0.26065067966289623,0.016048586773972088,0.041479818539536126,0.5788497937799422,0.1029711212436533,0.02008268,0.0027096304,0.0077415183,0.96906686,0.00039932263,3.253520739001871,-0.24761611617065388,1.7814043118896077,4.265537451317485,0.7677001757050617,0.06462363596611043,0.08700190390139545,0.035358649678022956,0.727713899546113,0.08530191090835831,1,2,2,1,3,3
0.0078108315,0.40986288,0.0037008862,4.9436853e-06,0.5786205,0.353125480417731,0.2930978641504182,0.11383048432919687,1.3119872698695258e-05,0.23993305122995534,0.007953532,0.95208484,0.00051924883,0.00021205292,0.03923037,2.282007394623922,3.2610524414480655,0.9112185214130918,-0.3114826665651874,4.282145952465376,0.3053311837342658,0.4307070267191737,0.10467298829731023,0.013667565800918782,0.14562123544833144,4,1,1,1,1,1
0.41347194,0.3599416,0.19362047,0.0007414231,0.032224547,0.27967840921878706,0.3976828139871086,0.12697728248522863,0.00019085652554048246,0.19547063778333534,0.0055300924,0.97593415,0.0004840025,0.000289053,0.017762642,2.278789902370105,4.272262052253272,0.793789174315296,-0.30788312124521056,3.268610546200578,0.24182291435395883,0.49128521350459503,0.07707698614447724,0.00985896011065997,0.179955925886309,0,2,4,1,1,1
0.49322754,0.0025037194,0.04850919,0.010248965,0.44551054,0.27422393298312914,0.3098908778154179,0.12593699184271168,0.014415221509562271,0.27553297584917913,0.31900355,0.29636705,0.3739376,0.0070704664,0.0036213507,3.2375058352402895,4.25883484624969,0.9456397459048086,-0.280409826424297,1.8950429281384695,0.38557552268535233,0.2623094088422119,0.11186615030983106,0.03873151300536254,0.20151740515724192,0,1,2,1,0,1
0.066004515,0.018681105,0.010662991,0.57524884,0.32940254,0.18239054730056123,0.303960217608073,0.07064077549213423,0.0680385882815647,0.3749698713176668,0.9499636,0.0022787515,0.0043212683,0.00041233024,0.043024044,4.267756086438252,3.120548657476085,-0.2457339046970658,0.7880896342438066,1.9699263122599546,0.3038835801067766,0.1854195575288706,0.15217017158722349,0.17668841980932676,0.18183827096780245,3,3,3,3,0,0
0.3492986,0.23391159,0.3821016,0.000860168,0.033828,0.14730227694160053,0.43145602482150613,0.14901781874876224,0.0019439991162483795,0.2702798803718827,0.0038724001,0.9639163,0.00033879507,0.00033414172,0.03153837,2.161761543708304,3.269989057201732,0.7476269844970174,-0.3019153180107923,4.294217955000358,0.10895792946134857,0.6291091875905733,0.08568201651362387,0.035668396075687066,0.14058247035876723,2,0,1,0,1,1
0.30609,0.22944434,0.42276296,0.003404096,0.038298637,0.21147979933023497,0.445774201129874,0.19574464021794327,0.003966311313265445,0.14303504800868225,0.96524173,0.006198863,0.014238578,0.00024722182,0.01407358,4.2728259782321,3.2598595137042476,2.214792957655705,-0.29496528058421434,0.7718213444008234,0.4350641820690969,0.32398799414897644,0.1207029219724701,0.00755692702238966,0.11268797478706702,2,2,2,2,0,0
0.5426158,0.0013777006,0.00075431995,0.00023351725,0.4550187,0.289814716046174,0.32678588750896925,0.09234436435677522,0.010884966694896312,0.2801700653931853,0.24101952,0.59014165,0.16501552,0.002460651,0.0013626562,4.2690391253054365,3.2651889402350642,2.1366894001160146,-0.29504681934667226,0.8280950270439104,0.3531486229853576,0.37207508337700296,0.13559555974499754,0.007465731861194923,0.13171500203144698,0,0,4,0,1,0
0.22315374,0.39307585,0.12136378,0.23556077,0.026845843,0.20498307623981885,0.17979177626586273,0.06721597448422681,0.07363203146557966,0.47437714154451194,0.20281862,0.5532683,0.14052014,0.10160502,0.0017879213,2.016221724246817,3.187240408404396,4.208775293673126,1.0159370932453602,-0.25121429469022777,0.21416244077213112,0.2236386176969026,0.30866048947595154,0.1419247168133871,0.11161373524162753,1,1,1,1,2,1
0.056364805,0.017129391,0.010603239,0.6679391,0.24796344,0.18591648013183798,0.3716316997291039,0.1393518205105127,0.003366364681638149,0.2997336349469071,0.0016623496,0.0009715217,0.9761445,0.0001887997,0.021032805,1.8281203338377456,0.7793931086199309,3.1738943935308166,-0.28167959058788566,4.293575772264403,0.08314637355713776,0.28051542856856276,0.544699051563734,0.0027885510455142076,0.08885059526505117,3,3,3,3,2,2
0.5750274,0.0012722942,0.0030283495,0.0013920693,0.41927993,0.4318297308676375,0.2917733453167919,0.10740548174664612,0.004701958846628467,0.164289483222296,0.9547223,0.0070229294,0.0077638277,0.00024653494,0.030244403,4.28229026328617,2.0297784780326675,2.1404832759966044,-0.28809136657369283,2.003561563899455,0.41324275444067404,0.2626347720224309,0.15138731678382297,0.0067333156745971534,0.16600184107847527,0,1,0,1,0,0
0.49897155,0.00017525547,0.077668704,0.0021929143,0.42099157,0.4645710144157826,0.21946896760142484,0.04590532390815328,0.0052056996843557616,0.26484899439028364,0.048272397,0.0016696425,0.0014590941,5.0889757e-05,0.94854796,4.278813723776536,1.9481575540690674,0.8547498834366192,-0.2779059784781477,3.153765212771509,0.37709280179527943,0.17322489749219716,0.08054771171519294,0.014497634794325033,0.35463695420300534,0,0,2,0,0,4
0.2856002,0.5176495,0.101962276,0.057603694,0.03718431,0.49568558818026254,0.010453572554940432,0.18888438062079616,0.19708338581778592,0.107893072826215,0.9647656,0.003167406,0.026868094,0.004008334,0.0011905897,4.297394159964078,-0.29674170430397256,3.268553134569162,2.1556024397675566,0.7205476137684208,0.9478377782451274,0.011683957037847217,0.019594468693820272,0.0002518428846278562,0.020631953138576763,1,1,1,1,0,0
0.35438204,0.0013884348,0.13710621,0.05415182,0.4529715,0.22799699062735032,0.06428699017088363,0.03799405356901586,0.4780226210316793,0.19169934460107096,0.00898748,0.0022507003,0.16759011,0.16293089,0.65824085,4.265365431984446,0.8687532704805128,-0.2696840667920894,3.1635413073455254,2.0062246800822883,0.10589148731200845,0.046076469333958266,0.05646834341832003,0.5302670982191513,0.2612966017165618,4,1,4,1,3,4
0.5433133,0.23385093,0.042758085,0.1472616,0.032816097,0.2727009917752869,0.1662190123330482,0.2103159073505216,0.0002082869793756435,0.3505558015617675,0.005658099,0.0011791051,0.039282314,0.00012273218,0.9537577,3.264795384967104,2.224408513891603,4.284806463533686,-0.3111851945020208,1.231003062266622,0.09420291398340104,0.0341443917755551,0.12205903144815673,0.0007722932770371099,0.74882136951585,0,4,0,0,4,4
