NN_0,NN_1,NN_2,NN_3,NN_4
0.101801254,0.0004316382,0.005676833,0.12642516,0.7656651
0.46598512,0.33366054,0.12795708,0.050312817,0.022084417
0.04984962,0.024281701,0.022238092,0.5013038,0.4023268
0.3323929,0.42459783,0.15527472,0.04812211,0.039612416
0.0056739957,0.5914981,1.2623009e-05,1.1707705e-06,0.40281415
0.023706963,0.0030783277,0.0016352313,0.9693926,0.0021868576
0.28018224,0.38226327,0.24898699,0.051657755,0.036909696
0.0078108315,0.40986288,0.0037008862,4.9436853e-06,0.5786205
0.41347194,0.3599416,0.19362047,0.0007414231,0.032224547
0.49322754,0.0025037194,0.04850919,0.010248965,0.44551054
0.066004515,0.018681105,0.010662991,0.57524884,0.32940254
0.3492986,0.23391159,0.3821016,0.000860168,0.033828
0.30609,0.22944434,0.42276296,0.003404096,0.038298637
0.5426158,0.0013777006,0.00075431995,0.00023351725,0.4550187
0.22315374,0.39307585,0.12136378,0.23556077,0.026845843
0.056364805,0.017129391,0.010603239,0.6679391,0.24796344
0.5750274,0.0012722942,0.0030283495,0.0013920693,0.41927993
0.49897155,0.00017525547,0.077668704,0.0021929143,0.42099157
0.2856002,0.5176495,0.101962276,0.057603694,0.03718431
0.35438204,0.0013884348,0.13710621,0.05415182,0.4529715
0.5433133,0.23385093,0.042758085,0.1472616,0.032816097
0.025703846,0.06755049,0.60478985,0.04866052,0.25329533
0.55214113,0.26573884,0.03460145,0.002081114,0.1454375
0.21861227,0.00013144851,0.046595637,0.041692752,0.6929679
0.9650648,0.008533097,0.007909372,0.01278717,0.0057055796
0.27858883,0.3068775,0.00014153836,4.3296346e-05,0.41434884
0.0057173483,0.6250852,1.6577516e-05,4.377291e-06,0.3691765
0.0728853,0.025345642,0.0136738,0.42269158,0.46540362
0.43457827,0.47039574,0.05105587,0.0055030896,0.038467012
0.063778795,0.002757339,0.007910101,0.8942849,0.031268816
0.0061514284,0.82763034,1.589206e-05,1.6655887e-06,0.16620064
0.9686742,0.005349123,0.014749113,0.003512952,0.00771454
0.7975668,0.010295017,0.00010580188,5.459883e-06,0.19202687
0.08346955,4.6426303e-05,0.018535241,0.0038471876,0.8941015
0.55912745,0.30066684,0.11466315,0.0039012374,0.02164131
0.5301627,0.3294506,0.010187539,0.0020764417,0.12812275
0.013207617,0.0008999316,0.0010344901,0.9841303,0.0007275823
0.017128982,0.00094895565,0.0012992686,0.9791821,0.0014406769
0.04084172,0.0068925405,0.010769975,0.93703383,0.0044619916
0.05708632,0.0021013888,0.004830949,0.92931855,0.006662817
0.81684846,0.00021417851,0.003400279,5.1660507e-05,0.17948544
0.27326283,0.22443254,0.09790858,0.33680618,0.06758991
0.4255928,0.4393611,0.11011865,0.008878617,0.016048804
0.25349307,3.2987282e-05,0.18420659,0.00147391,0.56079346
0.39573374,0.21535753,0.35336447,0.0011828049,0.034361485
0.5045677,0.0005191012,0.002824414,0.0013776337,0.4907111
0.036818698,0.012254349,0.015639834,0.77990514,0.15538193
0.07189436,0.027617065,0.020029254,0.5102728,0.3701865
0.043442197,0.012941367,0.013116337,0.74196565,0.18853447
0.37692994,0.0005440548,0.029745776,0.037988205,0.55479205
0.1944945,0.00086306233,0.016247034,0.110201046,0.67819446
0.41127732,0.0009966468,0.0015894606,5.5805398e-05,0.5860808
0.022398287,0.0012194823,0.0019896475,0.9718868,0.0025057495
0.3191056,0.3648641,0.13098888,0.100146666,0.08489481
0.024514565,0.002826946,0.0046474175,0.96348596,0.004525083
0.10262354,0.068224765,0.07842704,0.7444223,0.006302322
0.43561652,0.00023227443,0.058931474,0.0020706106,0.50314915
0.011091642,0.46050712,0.0010937955,1.7971315e-05,0.52728945
0.0017819506,0.6452725,6.3572434e-06,3.4083962e-06,0.35293588
0.0879513,0.48791468,0.0025763917,0.0011244221,0.42043316
0.7273954,0.0032220362,4.016859e-05,1.3144384e-06,0.2693411
0.40995848,0.28486666,0.06663009,0.21152805,0.027016794
0.39307252,0.2861604,0.29520592,0.0046799327,0.020881237
0.46083626,0.25544307,0.2170513,0.037964623,0.028704679
0.49413082,0.1819483,0.30998966,0.003283779,0.010647475
0.13416737,0.16942923,0.107133985,0.5537616,0.035507783
0.021143472,0.38471597,0.0013735357,5.7538047e-05,0.5927095
0.3063021,0.07685712,0.3449617,0.044412643,0.22746642
0.00573061,0.3703778,0.0012526416,4.064523e-05,0.62259823
0.011548284,0.6323366,0.002284066,8.33582e-06,0.35382262
0.7351551,0.0060116756,0.0006732558,0.00035328048,0.2578067
0.4038624,0.32931662,0.07597636,0.106309034,0.08453553
0.31362745,0.048933145,6.0903298e-05,5.314367e-06,0.63737315
0.33239362,1.42093395e-05,0.017329821,9.243645e-06,0.65025306
0.3088745,0.06643746,0.4396558,0.010341162,0.17469111
0.44201,0.10026806,0.3112363,0.1127439,0.033741754
0.35023755,0.35035035,0.19544144,0.045814715,0.058155958
0.4482058,0.0011596397,0.067782626,0.0034342709,0.47941768
0.06902503,0.020606682,0.009024424,0.61624575,0.2850981
0.32769632,0.2407351,0.18954292,0.18273182,0.05929377
0.059513256,0.018385692,0.01590394,0.62696344,0.27923363
0.0134126255,0.05221816,0.3859272,0.03615494,0.51228714
0.45459127,0.42516777,0.09160506,0.004361346,0.024274576
0.2711347,0.31038615,0.25142077,0.13094565,0.03611271
0.0048670024,0.58142865,0.0012087009,2.4943608e-06,0.41249314
0.40296257,0.00096989865,3.037457e-05,9.564844e-07,0.59603626
0.04728989,0.013755819,0.007677935,0.73482674,0.19644962
0.548843,0.032213576,0.36957145,0.020103717,0.029268289
0.4022472,0.31979114,0.22629194,0.0039025724,0.047767155
0.010328455,0.7066898,0.0027495134,1.9150268e-05,0.28021318
0.0059374636,0.5626437,0.0027517779,2.6078811e-05,0.428641
0.005989411,0.6007752,0.0034562626,0.00068089145,0.38909826
0.46123102,0.45382404,0.05962888,0.0149820475,0.0103340745
0.4424976,0.14446321,0.00015789071,4.56832e-06,0.41287667
0.3868151,0.00020682608,0.00034293474,0.0075779743,0.6050571
0.31057474,0.28292915,0.21976455,0.102555364,0.084176145
0.086896226,0.022455562,0.05113542,0.4825562,0.3569566
0.57779807,0.17708194,0.18057127,0.0020666043,0.06248208
0.50632167,0.29276216,0.07554147,0.074784,0.05059065
0.054199018,0.0075542536,0.014800381,0.9141826,0.009263815
0.43241423,0.0005581006,0.07252709,0.0015167752,0.49298385
0.52560997,0.22420397,0.15951104,0.04453027,0.046144757
0.4348551,0.47443283,0.06344005,0.013696187,0.01357584
0.030666107,0.49698907,0.0020953303,2.6019816e-05,0.4702235
0.6021279,0.32846862,0.051532716,0.007614912,0.01025591
0.12383244,0.029705064,0.10459631,0.7225336,0.019332485
0.00081991154,0.7096976,7.1735635e-06,9.908718e-06,0.2894654
0.008274007,0.58467907,0.016413491,1.489238e-05,0.39061853
0.41467062,0.0005318391,0.03865802,0.03100983,0.5151297
0.44842654,0.00128095,0.16433744,0.0029316458,0.38302335
0.06473662,0.0140447635,0.0136606395,0.6100551,0.2975028
0.51907116,0.30953118,0.119031996,0.021807138,0.030558482
0.46412942,0.4350178,0.060748287,0.02672791,0.0133766355
0.3141461,0.32334086,0.27308518,0.039722115,0.049705718
0.8958096,0.0048489086,9.637542e-05,6.3781326e-06,0.099238805
0.06353781,0.018900523,0.027989984,0.8851031,0.0044685863
0.3318492,0.44199154,0.14782809,0.039757617,0.0385736
0.46594766,0.0010086787,0.04029153,0.005886369,0.48686573
0.06961868,0.025918184,0.012266275,0.46740234,0.42479467
0.0017435582,0.7673999,6.4252545e-06,1.4119905e-06,0.23084877
0.035522018,0.37647188,0.005717275,9.9981235e-06,0.58227885
0.18426882,0.03325318,0.048202805,0.66559637,0.06867881
0.042912953,0.011349778,0.0051031397,0.80001795,0.14061627
0.5088478,0.28247392,0.15376045,0.010121136,0.04479673
0.49171495,0.33422995,0.14736547,0.008486419,0.018203266
0.008940779,0.4944563,0.0017038593,1.1251575e-06,0.49489787
0.2568269,0.1669679,0.11578758,0.44670752,0.013710124
0.27336866,0.21183787,0.11020075,0.36962232,0.034970403
0.5222464,0.3452237,0.09614765,0.008464406,0.027917828
0.3796815,0.00032137142,0.00076082355,0.008508303,0.610728
0.3933231,0.3002959,0.27113914,0.0026330417,0.032608856
0.97547615,0.0020765162,0.008075932,0.00027412508,0.014097374
0.582334,0.22955658,0.12104797,0.009202327,0.05785917
0.20508152,0.0002267663,0.026035018,0.03782243,0.7308343
0.0070603946,0.6296263,0.0021873524,5.0027702e-05,0.3610759
